10x10 grid, p = 0.5, f = 0.25, 2500 steps
Ma D	Mi D	s+	s-
17691	62354	7.076400	24.941600
17984	62388	7.193600	24.955200
17652	61928	7.060800	24.771200
18121	61977	7.248400	24.790800
17934	61714	7.173600	24.685600
17876	62030	7.150400	24.812000
18072	62486	7.228800	24.994400
17628	62719	7.051200	25.087600
17776	62104	7.110400	24.841600
17961	62181	7.184400	24.872400
18251	62420	7.300400	24.968000
18028	62480	7.211200	24.992000
17773	62773	7.109200	25.109200
17696	62214	7.078400	24.885600
18031	62169	7.212400	24.867600
18045	62220	7.218000	24.888000
17985	62075	7.194000	24.830000
17722	62847	7.088800	25.138800
18142	62545	7.256800	25.018000
17653	62218	7.061200	24.887200
17624	61992	7.049600	24.796800
17689	62367	7.075600	24.946800
17991	62743	7.196400	25.097200
17765	61643	7.106000	24.657200
18037	62218	7.214800	24.887200
18037	62179	7.214800	24.871600
17819	61654	7.127600	24.661600
17844	62900	7.137600	25.160000
17835	63277	7.134000	25.310800
17615	62730	7.046000	25.092000
17972	61856	7.188800	24.742400
17816	62444	7.126400	24.977600
17973	62162	7.189200	24.864800
18128	61869	7.251200	24.747600
17851	62203	7.140400	24.881200
18020	62939	7.208000	25.175600
17746	62661	7.098400	25.064400
17934	62363	7.173600	24.945200
18016	62396	7.206400	24.958400
18020	62435	7.208000	24.974000
17758	62418	7.103200	24.967200
17718	62487	7.087200	24.994800
17752	63071	7.100800	25.228400
17820	62256	7.128000	24.902400
17944	62125	7.177600	24.850000
17822	62298	7.128800	24.919200
17651	62540	7.060400	25.016000
17902	62640	7.160800	25.056000
17789	62108	7.115600	24.843200
17832	62418	7.132800	24.967200
18026	62508	7.210400	25.003200
17721	61988	7.088400	24.795200
17724	62241	7.089600	24.896400
17740	62501	7.096000	25.000400
17399	62453	6.959600	24.981200
17793	62001	7.117200	24.800400
17898	62084	7.159200	24.833600
17872	62651	7.148800	25.060400
17919	62495	7.167600	24.998000
17809	62709	7.123600	25.083600
17500	62546	7.000000	25.018400
17483	62666	6.993200	25.066400
17755	62398	7.102000	24.959200
17841	63087	7.136400	25.234800
17668	62155	7.067200	24.862000
18091	61769	7.236400	24.707600
17627	62425	7.050800	24.970000
17657	61820	7.062800	24.728000
17646	62327	7.058400	24.930800
17795	62200	7.118000	24.880000
17858	62579	7.143200	25.031600
17600	62490	7.040000	24.996000
17822	62168	7.128800	24.867200
17900	61765	7.160000	24.706000
17679	62335	7.071600	24.934000
17594	62607	7.037600	25.042800
17737	62677	7.094800	25.070800
17858	62721	7.143200	25.088400
17753	62467	7.101200	24.986800
17823	62866	7.129200	25.146400
17793	61478	7.117200	24.591200
18104	62455	7.241600	24.982000
17942	62010	7.176800	24.804000
17807	63010	7.122800	25.204000
17749	62561	7.099600	25.024400
17652	62396	7.060800	24.958400
17953	62040	7.181200	24.816000
17921	62642	7.168400	25.056800
17759	63022	7.103600	25.208800
18015	62751	7.206000	25.100400
17697	62477	7.078800	24.990800
18007	62761	7.202800	25.104400
17722	62058	7.088800	24.823200
17847	61957	7.138800	24.782800
17517	62670	7.006800	25.068000
17767	62703	7.106800	25.081200
17721	62236	7.088400	24.894400
17735	62960	7.094000	25.184000
17675	62692	7.070000	25.076800
18046	62685	7.218400	25.074000
17976	62344	7.190400	24.937600
17639	62189	7.055600	24.875600
17606	62196	7.042400	24.878400
17882	62040	7.152800	24.816000
17702	62918	7.080800	25.167200
18055	62579	7.222000	25.031600
17808	62557	7.123200	25.022800
17793	62463	7.117200	24.985200
17865	61854	7.146000	24.741600
17619	62556	7.047600	25.022400
18053	63002	7.221200	25.200800
17915	62151	7.166000	24.860400
17544	62880	7.017600	25.152000
17749	62196	7.099600	24.878400
18195	62298	7.278000	24.919200
17736	62311	7.094400	24.924400
17741	62481	7.096400	24.992400
17893	62584	7.157200	25.033600
17883	62216	7.153200	24.886400
17799	62154	7.119600	24.861600
17601	62297	7.040400	24.918800
17888	62883	7.155200	25.153200
17604	62729	7.041600	25.091600
18122	62590	7.248800	25.036000
17908	62053	7.163200	24.821200
17770	62191	7.108000	24.876400
17828	62373	7.131200	24.949200
17699	62690	7.079600	25.076000
17845	62477	7.138000	24.990800
17916	62469	7.166400	24.987600
17871	62670	7.148400	25.068000
17793	62527	7.117200	25.010800
17740	63066	7.096000	25.226400
17980	61988	7.192000	24.795200
18032	62371	7.212800	24.948400
17713	62383	7.085200	24.953200
17716	62591	7.086400	25.036400
17701	62881	7.080400	25.152400
17853	62292	7.141200	24.916800
17682	62304	7.072800	24.921600
17551	62338	7.020400	24.935200
17819	62801	7.127600	25.120400
17814	62286	7.125600	24.914400
18167	62173	7.266800	24.869200
18116	62177	7.246400	24.870800
18118	62457	7.247200	24.982800
17815	62290	7.126000	24.916000
17817	62430	7.126800	24.972000
17520	62438	7.008000	24.975200
17962	63039	7.184800	25.215600
17832	62490	7.132800	24.996000
17762	62475	7.104800	24.990000
17902	62774	7.160800	25.109600
17926	62584	7.170400	25.033600
17924	62765	7.169600	25.106000
17979	61698	7.191600	24.679200
17997	61997	7.198800	24.798800
18005	62159	7.202000	24.863600
17802	61843	7.120800	24.737200
17745	62312	7.098000	24.924800
18468	62364	7.387200	24.945600
17465	61934	6.986000	24.773600
17891	62409	7.156400	24.963600
17738	62807	7.095200	25.122800
18097	62103	7.238800	24.841200
17727	62197	7.090800	24.878800
17589	62244	7.035600	24.897600
17820	62774	7.128000	25.109600
17866	62085	7.146400	24.834000
17808	62437	7.123200	24.974800
17853	62575	7.141200	25.030000
17916	62502	7.166400	25.000800
17675	62474	7.070000	24.989600
17827	62771	7.130800	25.108400
17824	62452	7.129600	24.980800
17756	61862	7.102400	24.744800
18062	61822	7.224800	24.728800
17887	62127	7.154800	24.850800
17797	62215	7.118800	24.886000
18193	62201	7.277200	24.880400
17702	62918	7.080800	25.167200
17772	62792	7.108800	25.116800
17972	62633	7.188800	25.053200
17908	62104	7.163200	24.841600
17859	62331	7.143600	24.932400
17694	62467	7.077600	24.986800
17626	61835	7.050400	24.734000
17643	62636	7.057200	25.054400
17802	62360	7.120800	24.944000
17796	62791	7.118400	25.116400
17688	62642	7.075200	25.056800
17712	62275	7.084800	24.910000
17901	62346	7.160400	24.938400
17839	62672	7.135600	25.068800
17538	62869	7.015200	25.147600
17694	62275	7.077600	24.910000
17833	61726	7.133200	24.690400
18038	61940	7.215200	24.776000
17786	62330	7.114400	24.932000
18010	62726	7.204000	25.090400
17927	62784	7.170800	25.113600
17925	62154	7.170000	24.861600
17660	62483	7.064000	24.993200
17693	62395	7.077200	24.958000
17953	62542	7.181200	25.016800
17371	62073	6.948400	24.829200
17879	62372	7.151600	24.948800
17610	63034	7.044000	25.213600
17938	62144	7.175200	24.857600
17970	62600	7.188000	25.040000
17802	62512	7.120800	25.004800
18057	62896	7.222800	25.158400
18007	61510	7.202800	24.604000
17817	62028	7.126800	24.811200
17915	61692	7.166000	24.676800
17935	62950	7.174000	25.180000
18029	62704	7.211600	25.081600
17470	62277	6.988000	24.910800
17939	62629	7.175600	25.051600
17791	62330	7.116400	24.932000
17740	62380	7.096000	24.952000
17523	62015	7.009200	24.806000
17866	62242	7.146400	24.896800
18027	62813	7.210800	25.125200
17901	62416	7.160400	24.966400
18041	61846	7.216400	24.738400
17671	62452	7.068400	24.980800
17761	61576	7.104400	24.630400
17519	62362	7.007600	24.944800
18012	62637	7.204800	25.054800
17701	62470	7.080400	24.988000
18236	62115	7.294400	24.846000
18002	62471	7.200800	24.988400
17890	62070	7.156000	24.828000
17973	61704	7.189200	24.681600
17892	61939	7.156800	24.775600
17922	62558	7.168800	25.023200
18029	61944	7.211600	24.777600
17990	62480	7.196000	24.992000
17642	62603	7.056800	25.041200
17824	62568	7.129600	25.027200
17939	62184	7.175600	24.873600
18015	61887	7.206000	24.754800
17935	63106	7.174000	25.242400
17701	61420	7.080400	24.568000
18068	62044	7.227200	24.817600
17906	62094	7.162400	24.837600
17822	62192	7.128800	24.876800
18105	62114	7.242000	24.845600
17719	62548	7.087600	25.019200
17746	62483	7.098400	24.993200
17741	61597	7.096400	24.638800
17880	62873	7.152000	25.149200
17907	62614	7.162800	25.045600
17570	62735	7.028000	25.094000
17867	62240	7.146800	24.896000
17985	62033	7.194000	24.813200
17509	62513	7.003600	25.005200
17582	62474	7.032800	24.989600
17953	62272	7.181200	24.908800
17957	62043	7.182800	24.817200
18141	62228	7.256400	24.891200
17850	62076	7.140000	24.830400
17506	61905	7.002400	24.762000
17887	62267	7.154800	24.906800
18155	62353	7.262000	24.941200
17778	61994	7.111200	24.797600
18134	62302	7.253600	24.920800
17684	62050	7.073600	24.820000
17738	62009	7.095200	24.803600
18107	62397	7.242800	24.958800
17858	62879	7.143200	25.151600
17897	61817	7.158800	24.726800
17796	62073	7.118400	24.829200
17894	62269	7.157600	24.907600
17941	62239	7.176400	24.895600
17819	63242	7.127600	25.296800
18072	62683	7.228800	25.073200
17534	62046	7.013600	24.818400
17856	62056	7.142400	24.822400
17838	62761	7.135200	25.104400
17678	62558	7.071200	25.023200
17637	62105	7.054800	24.842000
17761	62343	7.104400	24.937200
17546	62287	7.018400	24.914800
17851	61844	7.140400	24.737600
17805	62447	7.122000	24.978800
17845	61975	7.138000	24.790000
17888	62766	7.155200	25.106400
17680	62658	7.072000	25.063200
17881	62840	7.152400	25.136000
17694	62608	7.077600	25.043200
17595	62430	7.038000	24.972000
17758	62611	7.103200	25.044400
18006	62189	7.202400	24.875600
18015	61795	7.206000	24.718000
17738	62818	7.095200	25.127200
18009	62334	7.203600	24.933600
17624	62463	7.049600	24.985200
17883	61953	7.153200	24.781200
18230	62700	7.292000	25.080000
17552	62666	7.020800	25.066400
17605	62709	7.042000	25.083600
18104	62422	7.241600	24.968800
17439	62890	6.975600	25.156000
17431	62336	6.972400	24.934400
17461	62158	6.984400	24.863200
17779	62119	7.111600	24.847600
17707	62432	7.082800	24.972800
17936	62384	7.174400	24.953600
17897	62406	7.158800	24.962400
17729	62705	7.091600	25.082000
17923	62429	7.169200	24.971600
17892	61866	7.156800	24.746400
17891	62825	7.156400	25.130000
17800	62255	7.120000	24.902000
17797	62644	7.118800	25.057600
17841	62692	7.136400	25.076800
17431	62221	6.972400	24.888400
17965	62267	7.186000	24.906800
17860	62850	7.144000	25.140000
17839	62512	7.135600	25.004800
17892	62475	7.156800	24.990000
17958	63007	7.183200	25.202800
17853	63149	7.141200	25.259600
17917	61955	7.166800	24.782000
17665	62707	7.066000	25.082800
17924	62236	7.169600	24.894400
17778	62601	7.111200	25.040400
17514	63051	7.005600	25.220400
