NoOfDeaths	oldblueDeath	youngblueDeath	oldredDeath	MajReadDeath
0	672	3884	689	3880
1	56	104	71	106
2	104	11	113	14
3	153	1	189	0
4	213	0	221	0
5	247	0	270	0
6	326	0	265	0
7	290	0	311	0
8	348	0	320	0
9	315	0	301	0
10	286	0	267	0
11	260	0	269	0
12	204	0	194	0
13	129	0	159	0
14	111	0	109	0
15	92	0	64	0
16	38	0	35	0
17	34	0	31	0
18	15	0	26	0
19	15	0	13	0
20	8	0	11	0
21	11	0	11	0
22	8	0	8	0
23	4	0	2	0
24	10	0	0	0
25	3	0	4	0
26	2	0	2	0
27	1	0	3	0
28	3	0	3	0
29	2	0	1	0
30	2	0	5	0
31	3	0	4	0
32	2	0	0	0
33	3	0	1	0
34	1	0	3	0
35	4	0	2	0
36	2	0	2	0
37	2	0	1	0
38	3	0	1	0
39	1	0	3	0
40	2	0	1	0
41	2	0	1	0
42	0	0	2	0
43	1	0	0	0
44	1	0	1	0
45	2	0	3	0
46	0	0	4	0
47	2	0	0	0
48	1	0	0	0
49	0	0	1	0
50	1	0	0	0
52	2	0	0	0
53	0	0	1	0
55	0	0	1	0
56	2	0	0	0
70	1	0	0	0
73	0	0	1	0
