20x20 grid, p = 0.3, f = 0.7, 500 steps
-e Ma D	Mi D	Red D	 Blue D	s+	s-
36194	11931	24046	24079	72.388000	23.862000
35788	12052	24033	23807	71.576000	24.104000
36259	11807	23884	24182	72.518000	23.614000
35878	11859	23776	23961	71.756000	23.718000
36292	11786	24140	23938	72.584000	23.572000
36154	11969	24070	24053	72.308000	23.938000
35949	11945	23859	24035	71.898000	23.890000
36242	11895	23933	24204	72.484000	23.790000
35856	11930	23892	23894	71.712000	23.860000
36107	11853	24045	23915	72.214000	23.706000
36225	11878	24118	23985	72.450000	23.756000
36056	11999	24116	23939	72.112000	23.998000
35907	11956	23892	23971	71.814000	23.912000
35958	11912	23958	23912	71.916000	23.824000
35732	11902	23848	23786	71.464000	23.804000
35838	12065	23992	23911	71.676000	24.130000
35822	11857	23813	23866	71.644000	23.714000
35970	11903	23924	23949	71.940000	23.806000
35870	11902	23936	23836	71.740000	23.804000
36126	11956	24033	24049	72.252000	23.912000
36241	11864	24033	24072	72.482000	23.728000
36026	11961	24000	23987	72.052000	23.922000
36302	12003	24154	24151	72.604000	24.006000
35968	11841	23893	23916	71.936000	23.682000
35936	11869	23644	24161	71.872000	23.738000
35978	12000	23943	24035	71.956000	24.000000
35655	11877	23784	23748	71.310000	23.754000
36162	11965	24092	24035	72.324000	23.930000
36106	12061	24038	24129	72.212000	24.122000
35944	12014	24039	23919	71.888000	24.028000
35981	11939	23994	23926	71.962000	23.878000
35908	12063	23958	24013	71.816000	24.126000
35854	11909	23964	23799	71.708000	23.818000
35610	12136	23815	23931	71.220000	24.272000
35891	11788	23780	23899	71.782000	23.576000
36030	11712	24149	23593	72.060000	23.424000
35886	11880	23962	23804	71.772000	23.760000
36324	11974	24128	24170	72.648000	23.948000
35990	11911	24044	23857	71.980000	23.822000
36212	12008	24140	24080	72.424000	24.016000
36026	11995	23961	24060	72.052000	23.990000
35726	12024	23983	23767	71.452000	24.048000
36051	11911	23983	23979	72.102000	23.822000
35989	11892	23894	23987	71.978000	23.784000
35849	11952	23997	23804	71.698000	23.904000
35991	12005	24034	23962	71.982000	24.010000
36175	11989	24192	23972	72.350000	23.978000
35923	12062	24193	23792	71.846000	24.124000
35926	12202	24084	24044	71.852000	24.404000
36314	11739	24061	23992	72.628000	23.478000
36468	11820	24266	24022	72.936000	23.640000
36179	11836	24022	23993	72.358000	23.672000
35980	11896	23932	23944	71.960000	23.792000
36077	11822	23947	23952	72.154000	23.644000
36230	11576	23913	23893	72.460000	23.152000
35982	11877	23913	23946	71.964000	23.754000
36217	12012	24069	24160	72.434000	24.024000
35949	11810	23898	23861	71.898000	23.620000
36174	11883	24032	24025	72.348000	23.766000
36082	11679	23782	23979	72.164000	23.358000
36294	11734	24011	24017	72.588000	23.468000
36052	11967	24105	23914	72.104000	23.934000
36158	11772	24151	23779	72.316000	23.544000
35859	12044	23785	24118	71.718000	24.088000
35937	11833	24058	23712	71.874000	23.666000
36073	11787	23892	23968	72.146000	23.574000
36337	11814	23991	24160	72.674000	23.628000
36298	11783	23867	24214	72.596000	23.566000
35714	11951	23924	23741	71.428000	23.902000
36064	11949	24011	24002	72.128000	23.898000
36050	11830	23994	23886	72.100000	23.660000
36059	11970	23855	24174	72.118000	23.940000
35676	12139	23980	23835	71.352000	24.278000
36406	11741	23984	24163	72.812000	23.482000
35872	12003	23914	23961	71.744000	24.006000
35910	12023	23884	24049	71.820000	24.046000
35915	11935	23958	23892	71.830000	23.870000
35891	11934	23966	23859	71.782000	23.868000
35582	12002	23771	23813	71.164000	24.004000
36367	11923	24039	24251	72.734000	23.846000
36053	11941	23988	24006	72.106000	23.882000
36063	11849	23995	23917	72.126000	23.698000
36130	11723	23841	24012	72.260000	23.446000
35904	11953	23835	24022	71.808000	23.906000
35510	11844	23674	23680	71.020000	23.688000
35882	11822	23963	23741	71.764000	23.644000
36154	12033	24065	24122	72.308000	24.066000
35809	12032	23797	24044	71.618000	24.064000
36298	11887	24068	24117	72.596000	23.774000
36193	11913	24033	24073	72.386000	23.826000
36009	12008	24156	23861	72.018000	24.016000
35988	11984	23913	24059	71.976000	23.968000
36121	12019	24081	24059	72.242000	24.038000
35727	11804	23625	23906	71.454000	23.608000
36118	11988	24128	23978	72.236000	23.976000
36274	11996	24343	23927	72.548000	23.992000
35676	11916	23827	23765	71.352000	23.832000
35951	11907	23940	23918	71.902000	23.814000
35862	11854	23764	23952	71.724000	23.708000
35778	11938	24002	23714	71.556000	23.876000
36130	11937	24055	24012	72.260000	23.874000
35769	11938	23720	23987	71.538000	23.876000
36159	11893	24000	24052	72.318000	23.786000
36074	12023	23965	24132	72.148000	24.046000
35713	11947	23826	23834	71.426000	23.894000
35920	11965	23900	23985	71.840000	23.930000
35964	11802	23851	23915	71.928000	23.604000
36144	11878	23914	24108	72.288000	23.756000
35933	11797	23726	24004	71.866000	23.594000
35891	12042	23910	24023	71.782000	24.084000
35732	11981	23960	23753	71.464000	23.962000
35820	11978	23874	23924	71.640000	23.956000
35863	11959	23844	23978	71.726000	23.918000
36349	11954	24175	24128	72.698000	23.908000
35932	11938	24073	23797	71.864000	23.876000
36155	11901	24074	23982	72.310000	23.802000
36277	12064	24060	24281	72.554000	24.128000
35917	12049	23990	23976	71.834000	24.098000
36134	11971	23994	24111	72.268000	23.942000
36043	11983	23886	24140	72.086000	23.966000
36226	12001	24170	24057	72.452000	24.002000
36201	11824	24161	23864	72.402000	23.648000
35751	11877	23879	23749	71.502000	23.754000
35586	12107	23890	23803	71.172000	24.214000
35956	11873	23999	23830	71.912000	23.746000
35963	11931	23972	23922	71.926000	23.862000
35763	11792	23814	23741	71.526000	23.584000
36104	11863	23901	24066	72.208000	23.726000
36089	11879	24166	23802	72.178000	23.758000
36161	11816	24059	23918	72.322000	23.632000
35942	11934	23890	23986	71.884000	23.868000
35951	11954	24000	23905	71.902000	23.908000
36089	11949	23930	24108	72.178000	23.898000
36385	11830	24112	24103	72.770000	23.660000
35859	11948	23942	23865	71.718000	23.896000
36066	11976	23979	24063	72.132000	23.952000
35776	11771	23769	23778	71.552000	23.542000
36142	11835	24045	23932	72.284000	23.670000
35874	11941	24091	23724	71.748000	23.882000
36305	11782	24215	23872	72.610000	23.564000
36381	12016	24321	24076	72.762000	24.032000
35846	11905	23775	23976	71.692000	23.810000
36057	11784	23681	24160	72.114000	23.568000
36178	11987	24181	23984	72.356000	23.974000
36412	11931	24139	24204	72.824000	23.862000
36092	11989	24145	23936	72.184000	23.978000
35902	11889	23950	23841	71.804000	23.778000
36229	11823	24073	23979	72.458000	23.646000
35899	11875	23770	24004	71.798000	23.750000
36008	11862	23892	23978	72.016000	23.724000
36287	11898	24031	24154	72.574000	23.796000
36133	11833	23969	23997	72.266000	23.666000
35997	11872	23769	24100	71.994000	23.744000
36150	12050	24032	24168	72.300000	24.100000
35679	11819	23812	23686	71.358000	23.638000
35956	11957	23932	23981	71.912000	23.914000
35913	11969	23964	23918	71.826000	23.938000
36167	11678	23863	23982	72.334000	23.356000
36047	12005	24075	23977	72.094000	24.010000
36055	11977	24003	24029	72.110000	23.954000
36270	12041	24237	24074	72.540000	24.082000
36095	11925	24036	23984	72.190000	23.850000
36111	11838	24047	23902	72.222000	23.676000
35899	11906	23872	23933	71.798000	23.812000
35936	11959	23964	23931	71.872000	23.918000
35870	11694	23868	23696	71.740000	23.388000
36157	11779	24075	23861	72.314000	23.558000
35864	12133	23991	24006	71.728000	24.266000
36154	11924	24019	24059	72.308000	23.848000
35979	12118	24139	23958	71.958000	24.236000
36246	11886	24043	24089	72.492000	23.772000
36138	11890	24131	23897	72.276000	23.780000
36054	11895	23995	23954	72.108000	23.790000
35931	11897	24043	23785	71.862000	23.794000
36351	11999	24061	24289	72.702000	23.998000
35958	11877	24082	23753	71.916000	23.754000
36027	11903	23980	23950	72.054000	23.806000
36225	11824	23970	24079	72.450000	23.648000
35871	11860	23852	23879	71.742000	23.720000
36031	11829	24051	23809	72.062000	23.658000
35947	12096	24019	24024	71.894000	24.192000
36367	11746	24145	23968	72.734000	23.492000
35783	11993	23917	23859	71.566000	23.986000
35986	11885	24004	23867	71.972000	23.770000
36026	11805	23854	23977	72.052000	23.610000
36074	11813	23864	24023	72.148000	23.626000
35828	12053	23984	23897	71.656000	24.106000
36108	11740	23912	23936	72.216000	23.480000
36068	11903	24025	23946	72.136000	23.806000
36211	11955	23895	24271	72.422000	23.910000
36071	11940	23999	24012	72.142000	23.880000
35991	11892	23967	23916	71.982000	23.784000
36046	11920	23775	24191	72.092000	23.840000
36030	11889	24021	23898	72.060000	23.778000
36296	12033	24094	24235	72.592000	24.066000
35795	12020	23877	23938	71.590000	24.040000
35989	11903	23970	23922	71.978000	23.806000
36273	11880	24007	24146	72.546000	23.760000
36067	11736	23949	23854	72.134000	23.472000
36367	11957	24144	24180	72.734000	23.914000
36058	11906	23969	23995	72.116000	23.812000
36033	11763	23778	24018	72.066000	23.526000
35953	11956	23878	24031	71.906000	23.912000
36207	12071	24218	24060	72.414000	24.142000
36300	11897	23901	24296	72.600000	23.794000
36046	11820	23823	24043	72.092000	23.640000
36239	12006	23934	24311	72.478000	24.012000
35817	11950	23932	23835	71.634000	23.900000
35982	12094	24035	24041	71.964000	24.188000
35869	12044	23955	23958	71.738000	24.088000
35822	11968	23786	24004	71.644000	23.936000
36005	11881	23841	24045	72.010000	23.762000
35681	11955	23965	23671	71.362000	23.910000
36130	11862	23965	24027	72.260000	23.724000
35972	11932	23929	23975	71.944000	23.864000
35836	12024	23951	23909	71.672000	24.048000
35866	11938	23926	23878	71.732000	23.876000
36030	12023	24188	23865	72.060000	24.046000
35786	11950	23879	23857	71.572000	23.900000
36181	11841	24094	23928	72.362000	23.682000
35980	11841	23752	24069	71.960000	23.682000
35864	11951	23854	23961	71.728000	23.902000
35940	12006	23871	24075	71.880000	24.012000
35765	11907	23907	23765	71.530000	23.814000
36134	11770	23888	24016	72.268000	23.540000
35818	11950	23877	23891	71.636000	23.900000
36147	11939	24070	24016	72.294000	23.878000
36072	11915	23808	24179	72.144000	23.830000
36250	11756	23892	24114	72.500000	23.512000
35985	11966	23998	23953	71.970000	23.932000
36039	11958	23987	24010	72.078000	23.916000
36342	12057	24129	24270	72.684000	24.114000
35846	11970	23805	24011	71.692000	23.940000
36020	11748	23954	23814	72.040000	23.496000
36231	11863	24039	24055	72.462000	23.726000
36377	11926	24132	24171	72.754000	23.852000
35649	12025	23923	23751	71.298000	24.050000
35894	11863	23941	23816	71.788000	23.726000
36307	11941	24196	24052	72.614000	23.882000
36159	11913	24021	24051	72.318000	23.826000
36114	11854	23789	24179	72.228000	23.708000
36358	11972	23998	24332	72.716000	23.944000
36216	11882	24143	23955	72.432000	23.764000
36031	11873	24133	23771	72.062000	23.746000
35958	11773	23940	23791	71.916000	23.546000
36063	11902	24020	23945	72.126000	23.804000
35967	11874	23914	23927	71.934000	23.748000
35801	11719	23680	23840	71.602000	23.438000
35861	11843	23792	23912	71.722000	23.686000
35973	11799	23915	23857	71.946000	23.598000
36071	11665	23843	23893	72.142000	23.330000
36193	11993	23981	24205	72.386000	23.986000
36127	11695	23979	23843	72.254000	23.390000
36072	11800	23980	23892	72.144000	23.600000
36184	11792	23919	24057	72.368000	23.584000
35703	12006	23845	23864	71.406000	24.012000
36152	11788	23896	24044	72.304000	23.576000
36291	11731	23929	24093	72.582000	23.462000
35710	11992	23826	23876	71.420000	23.984000
35978	12008	24033	23953	71.956000	24.016000
35903	12186	24041	24048	71.806000	24.372000
36157	11890	24102	23945	72.314000	23.780000
35910	11803	23878	23835	71.820000	23.606000
36188	11852	23999	24041	72.376000	23.704000
36022	11833	24041	23814	72.044000	23.666000
36361	11853	24138	24076	72.722000	23.706000
36114	11903	23896	24121	72.228000	23.806000
36199	11796	23915	24080	72.398000	23.592000
35680	12034	23859	23855	71.360000	24.068000
35852	11960	24022	23790	71.704000	23.920000
36112	11909	24017	24004	72.224000	23.818000
35867	11784	23829	23822	71.734000	23.568000
36131	11840	23881	24090	72.262000	23.680000
36193	11949	24039	24103	72.386000	23.898000
36260	11892	24044	24108	72.520000	23.784000
35630	12023	23987	23666	71.260000	24.046000
36056	11875	23988	23943	72.112000	23.750000
35966	11994	23978	23982	71.932000	23.988000
36033	12002	24031	24004	72.066000	24.004000
36082	11797	23944	23935	72.164000	23.594000
36103	12136	24162	24077	72.206000	24.272000
36159	11961	23911	24209	72.318000	23.922000
36091	12045	23852	24284	72.182000	24.090000
36248	11754	24056	23946	72.496000	23.508000
35805	11985	23935	23855	71.610000	23.970000
35926	11873	23960	23839	71.852000	23.746000
35936	11939	23930	23945	71.872000	23.878000
36029	12006	23979	24056	72.058000	24.012000
35995	11808	23906	23897	71.990000	23.616000
36311	11904	24299	23916	72.622000	23.808000
35754	11731	23548	23937	71.508000	23.462000
35867	11853	23929	23791	71.734000	23.706000
36000	11842	23833	24009	72.000000	23.684000
36064	11879	24054	23889	72.128000	23.758000
36293	11813	24131	23975	72.586000	23.626000
36349	11898	23923	24324	72.698000	23.796000
36408	11791	23981	24218	72.816000	23.582000
36140	11942	24050	24032	72.280000	23.884000
36152	11953	24162	23943	72.304000	23.906000
35948	12015	23915	24048	71.896000	24.030000
36003	11778	23967	23814	72.006000	23.556000
36146	12068	24280	23934	72.292000	24.136000
36067	11927	23999	23995	72.134000	23.854000
36408	11740	24133	24015	72.816000	23.480000
36106	11778	24104	23780	72.212000	23.556000
36001	11973	24046	23928	72.002000	23.946000
36152	11828	23959	24021	72.304000	23.656000
36446	12037	24314	24169	72.892000	24.074000
36088	11709	23898	23899	72.176000	23.418000
36191	12002	24021	24172	72.382000	24.004000
35895	11888	23674	24109	71.790000	23.776000
35987	11952	23984	23955	71.974000	23.904000
36164	11841	24032	23973	72.328000	23.682000
36046	12036	24034	24048	72.092000	24.072000
35984	11985	23998	23971	71.968000	23.970000
35992	11652	23899	23745	71.984000	23.304000
36070	11898	23973	23995	72.140000	23.796000
36037	11755	23980	23812	72.074000	23.510000
36090	11812	23866	24036	72.180000	23.624000
35959	11846	23844	23961	71.918000	23.692000
35978	11812	23758	24032	71.956000	23.624000
