20x20 grid, p = 0.5, f = 0.25, 500 steps
Ma D	Mi D	Red D	 Blue D	s+	s-
14996	55270	35155	35111	29.992000	110.540000
14748	55095	34887	34956	29.496000	110.190000
15062	55328	35146	35244	30.124000	110.656000
15002	54601	34834	34769	30.004000	109.202000
14924	54403	34726	34601	29.848000	108.806000
15192	55098	34936	35354	30.384000	110.196000
14986	55025	35001	35010	29.972000	110.050000
15162	54764	35107	34819	30.324000	109.528000
14810	54757	34714	34853	29.620000	109.514000
14940	55817	35231	35526	29.880000	111.634000
14960	54854	34930	34884	29.920000	109.708000
15184	54770	34982	34972	30.368000	109.540000
15121	54968	35136	34953	30.242000	109.936000
15131	54588	34791	34928	30.262000	109.176000
15091	55173	35247	35017	30.182000	110.346000
15060	55020	34886	35194	30.120000	110.040000
15010	54846	35124	34732	30.020000	109.692000
15280	54602	34824	35058	30.560000	109.204000
14962	55140	34965	35137	29.924000	110.280000
15098	55234	34996	35336	30.196000	110.468000
15073	54722	34905	34890	30.146000	109.444000
15139	54742	34923	34958	30.278000	109.484000
15084	54974	35006	35052	30.168000	109.948000
15141	55148	35211	35078	30.282000	110.296000
15459	55103	35239	35323	30.918000	110.206000
15039	55191	35022	35208	30.078000	110.382000
15207	55143	35131	35219	30.414000	110.286000
15137	54649	34882	34904	30.274000	109.298000
15330	54937	34890	35377	30.660000	109.874000
15153	54943	35042	35054	30.306000	109.886000
15309	55224	35287	35246	30.618000	110.448000
14844	55422	35294	34972	29.688000	110.844000
15072	54484	34866	34690	30.144000	108.968000
14932	55309	35189	35052	29.864000	110.618000
15046	55313	35201	35158	30.092000	110.626000
15151	54770	35023	34898	30.302000	109.540000
15159	54894	35012	35041	30.318000	109.788000
15078	54688	34856	34910	30.156000	109.376000
15014	54837	34885	34966	30.028000	109.674000
14988	55343	35417	34914	29.976000	110.686000
14765	55240	34921	35084	29.530000	110.480000
15006	55063	35115	34954	30.012000	110.126000
15186	54583	34922	34847	30.372000	109.166000
15120	54566	34828	34858	30.240000	109.132000
15468	54879	34953	35394	30.936000	109.758000
15156	54645	35044	34757	30.312000	109.290000
15143	54935	35032	35046	30.286000	109.870000
14863	55143	35078	34928	29.726000	110.286000
15243	54585	34981	34847	30.486000	109.170000
