NoOfDeaths	oldblueDeath	youngblueDeath	oldredDeath	youngredDeath
0	1	1	1	2
2	0	0	0	1
3	0	5	0	2
4	0	9	0	11
5	0	17	0	19
6	0	37	0	30
7	0	58	0	57
8	0	88	0	89
9	0	133	0	118
10	0	211	0	177
11	0	195	0	223
12	0	257	0	231
13	0	302	0	299
14	0	313	0	312
15	0	362	0	317
16	0	277	0	289
17	0	300	0	297
18	0	265	0	288
19	0	226	0	235
20	0	207	0	237
21	0	177	0	168
22	0	138	0	133
23	0	101	0	105
24	0	84	0	98
25	0	77	0	79
26	0	49	0	55
27	0	34	0	43
28	0	19	0	24
29	0	20	0	22
30	0	14	0	15
31	0	6	0	6
32	0	6	0	6
33	0	8	0	3
34	0	1	0	4
35	0	1	0	1
36	0	0	0	1
38	0	2	0	1
39	0	0	0	1
40	0	0	0	1
45	1	0	0	0
46	0	0	2	0
47	0	0	1	0
48	1	0	5	0
49	4	0	2	0
50	3	0	2	0
51	1	0	3	0
52	3	0	7	0
53	9	0	11	0
54	13	0	6	0
55	14	0	12	0
56	10	0	10	0
57	18	0	21	0
58	36	0	28	0
59	29	0	26	0
60	37	0	48	0
61	39	0	35	0
62	45	0	59	0
63	63	0	56	0
64	77	0	72	0
65	85	0	113	0
66	105	0	95	0
67	116	0	112	0
68	120	0	103	0
69	132	0	122	0
70	135	0	137	0
71	162	0	140	0
72	143	0	178	0
73	178	0	158	0
74	159	0	177	0
75	160	0	171	0
76	179	0	193	0
77	171	0	161	0
78	151	0	145	0
79	166	0	162	0
80	169	0	146	0
81	145	0	156	0
82	112	0	130	0
83	128	0	131	0
84	105	0	110	0
85	108	0	122	0
86	106	0	92	0
87	85	0	81	0
88	69	0	74	0
89	53	0	65	0
90	60	0	63	0
91	51	0	52	0
92	46	0	35	0
93	49	0	33	0
94	25	0	23	0
95	17	0	25	0
96	19	0	18	0
97	17	0	11	0
98	10	0	15	0
99	18	0	10	0
100	9	0	11	0
101	6	0	4	0
102	5	0	2	0
103	8	0	3	0
104	2	0	2	0
105	1	0	2	0
106	3	0	4	0
107	1	0	2	0
108	3	0	1	0
109	1	0	1	0
110	1	0	0	0
112	1	0	0	0
113	0	0	1	0
116	0	0	1	0
121	1	0	0	0
