10x10 grid, p = 0.03, f = 0.21, 1000 steps
Ma D	Mi D	s+	s-
391	1634	0.391000	1.634000
403	1665	0.403000	1.665000
423	1678	0.423000	1.678000
418	1647	0.418000	1.647000
423	1627	0.423000	1.627000
439	1616	0.439000	1.616000
406	1675	0.406000	1.675000
407	1599	0.407000	1.599000
450	1633	0.450000	1.633000
406	1657	0.406000	1.657000
388	1600	0.388000	1.600000
427	1708	0.427000	1.708000
397	1669	0.397000	1.669000
436	1690	0.436000	1.690000
435	1641	0.435000	1.641000
417	1701	0.417000	1.701000
455	1649	0.455000	1.649000
433	1718	0.433000	1.718000
397	1647	0.397000	1.647000
448	1727	0.448000	1.727000
390	1636	0.390000	1.636000
410	1706	0.410000	1.706000
392	1675	0.392000	1.675000
433	1620	0.433000	1.620000
383	1584	0.383000	1.584000
405	1557	0.405000	1.557000
402	1583	0.402000	1.583000
419	1702	0.419000	1.702000
435	1676	0.435000	1.676000
432	1658	0.432000	1.658000
418	1699	0.418000	1.699000
375	1517	0.375000	1.517000
443	1697	0.443000	1.697000
448	1648	0.448000	1.648000
437	1622	0.437000	1.622000
392	1689	0.392000	1.689000
420	1742	0.420000	1.742000
435	1619	0.435000	1.619000
412	1682	0.412000	1.682000
399	1733	0.399000	1.733000
391	1588	0.391000	1.588000
367	1635	0.367000	1.635000
405	1608	0.405000	1.608000
415	1590	0.415000	1.590000
407	1700	0.407000	1.700000
433	1619	0.433000	1.619000
416	1655	0.416000	1.655000
436	1605	0.436000	1.605000
440	1660	0.440000	1.660000
450	1671	0.450000	1.671000
415	1686	0.415000	1.686000
378	1623	0.378000	1.623000
430	1649	0.430000	1.649000
411	1599	0.411000	1.599000
393	1698	0.393000	1.698000
438	1630	0.438000	1.630000
381	1584	0.381000	1.584000
421	1667	0.421000	1.667000
443	1650	0.443000	1.650000
416	1625	0.416000	1.625000
398	1584	0.398000	1.584000
379	1650	0.379000	1.650000
455	1651	0.455000	1.651000
423	1608	0.423000	1.608000
446	1699	0.446000	1.699000
409	1602	0.409000	1.602000
381	1610	0.381000	1.610000
419	1693	0.419000	1.693000
428	1652	0.428000	1.652000
400	1646	0.400000	1.646000
468	1661	0.468000	1.661000
397	1573	0.397000	1.573000
405	1552	0.405000	1.552000
410	1588	0.410000	1.588000
453	1634	0.453000	1.634000
410	1664	0.410000	1.664000
415	1644	0.415000	1.644000
430	1659	0.430000	1.659000
452	1586	0.452000	1.586000
