Step	MinBlueDeath	MajBlueDeath	MinRedDeath	MajReadDeath
0	0	0	0	0
1	130	9	124	8
2	125	11	128	14
3	129	16	123	12
4	116	22	95	20
5	131	19	117	17
6	115	19	92	17
7	108	18	99	15
8	101	21	104	21
9	94	16	101	13
10	105	36	106	26
11	106	23	91	17
12	117	20	89	22
13	100	26	112	28
14	112	20	116	19
15	114	16	104	14
16	118	27	118	24
17	115	24	113	24
18	112	26	121	22
19	106	27	115	21
20	103	21	104	18
21	123	17	120	22
22	97	17	107	14
23	101	27	126	22
24	91	30	92	27
25	106	28	122	24
26	101	18	99	16
27	102	29	110	21
28	108	25	113	18
29	87	17	101	14
30	121	26	121	19
31	91	13	103	13
32	122	23	104	23
33	113	24	111	24
34	104	17	96	17
35	111	31	124	30
36	99	22	89	23
37	100	25	103	24
38	104	26	95	20
39	118	18	116	21
40	117	17	119	17
41	112	16	123	20
42	108	32	109	27
43	110	21	111	20
44	103	26	112	38
45	112	18	108	22
46	116	39	127	35
47	96	22	98	16
48	104	15	117	11
49	128	20	116	19
50	99	18	97	19
51	96	19	102	18
52	120	38	123	27
53	99	12	112	11
54	115	25	116	19
55	108	21	123	20
56	108	27	105	28
57	110	16	104	15
58	115	24	104	24
59	104	23	108	22
60	106	29	110	26
61	107	18	125	22
62	121	26	133	26
63	91	23	113	22
64	118	15	109	18
65	114	24	108	21
66	90	23	111	28
67	120	24	89	22
68	122	20	125	17
69	109	14	114	11
70	104	31	102	31
71	78	20	87	27
72	117	32	100	27
73	106	19	105	23
74	101	27	105	22
75	102	24	101	27
76	114	21	102	22
77	109	19	102	19
78	110	22	99	26
79	104	18	109	20
80	106	22	106	21
81	102	30	99	29
82	116	32	108	24
83	101	24	109	20
84	105	15	106	17
85	110	16	104	15
86	97	16	105	20
87	108	30	90	25
88	85	24	102	18
89	96	20	89	22
90	112	21	119	17
91	108	21	112	18
92	114	33	115	35
93	99	37	99	28
94	100	27	94	25
95	105	21	90	22
96	116	27	113	28
97	120	30	128	23
98	91	21	105	19
99	104	23	109	21
100	102	24	108	23
101	101	22	101	18
102	108	22	119	19
103	108	24	103	24
104	109	21	100	15
105	114	19	120	20
106	96	13	90	9
107	109	29	131	27
108	99	13	113	16
109	120	18	114	18
110	92	21	103	20
111	111	25	97	25
112	102	13	120	12
113	98	33	97	29
114	91	18	90	13
115	103	24	113	22
116	99	25	100	26
117	124	29	116	25
118	114	24	99	19
119	100	30	91	31
120	106	23	103	20
121	110	21	99	25
122	116	21	104	26
123	104	25	95	30
124	97	23	85	26
125	122	20	113	19
126	118	20	110	20
127	107	20	110	21
128	116	25	102	28
129	92	27	92	22
130	98	27	87	23
131	118	29	110	28
132	104	23	106	24
133	99	21	109	19
134	118	27	112	29
135	116	11	106	14
136	117	28	119	28
137	110	22	103	22
138	89	18	86	17
139	102	28	110	26
140	120	29	108	20
141	92	17	94	13
142	111	27	116	21
143	77	22	79	22
144	90	34	139	28
145	90	30	96	25
146	108	24	100	25
147	99	23	112	19
148	125	29	121	23
149	89	22	117	24
150	111	25	100	21
151	96	16	107	17
152	116	21	124	18
153	113	24	115	22
154	92	13	95	18
155	111	15	114	17
156	120	25	107	25
157	99	20	96	23
158	108	30	101	24
159	102	22	84	24
160	118	19	125	16
161	88	29	111	30
162	102	26	117	24
163	100	14	93	15
164	115	23	127	25
165	99	17	93	14
166	106	25	109	22
167	122	24	106	30
168	98	29	98	28
169	100	24	110	23
170	117	17	107	24
171	116	34	122	24
172	113	13	107	17
173	121	22	111	21
174	118	21	109	19
175	98	21	91	22
176	101	19	113	23
177	121	32	121	26
178	94	21	105	18
179	104	44	106	44
180	89	15	101	16
181	103	39	108	40
182	107	29	114	24
183	120	24	110	28
