20x20 grid, p = 0.43, f = 0.02, 500 steps
Ma D	Mi D	Red D	 Blue D	s+	s-
906	74589	37716	37779	1.812000	149.178000
915	74562	37723	37754	1.830000	149.124000
887	74875	37811	37951	1.774000	149.750000
935	75468	38251	38152	1.870000	150.936000
902	74796	37818	37880	1.804000	149.592000
904	74598	37823	37679	1.808000	149.196000
950	74634	37918	37666	1.900000	149.268000
970	74570	37615	37925	1.940000	149.140000
912	74809	37810	37911	1.824000	149.618000
879	74502	37711	37670	1.758000	149.004000
874	74742	37743	37873	1.748000	149.484000
905	74380	37692	37593	1.810000	148.760000
890	74571	37656	37805	1.780000	149.142000
948	74176	37363	37761	1.896000	148.352000
885	74663	37900	37648	1.770000	149.326000
879	74732	37815	37796	1.758000	149.464000
920	74867	37741	38046	1.840000	149.734000
867	74857	37736	37988	1.734000	149.714000
881	74769	37741	37909	1.762000	149.538000
954	75099	38207	37846	1.908000	150.198000
872	74348	37567	37653	1.744000	148.696000
919	74432	37639	37712	1.838000	148.864000
905	75092	37986	38011	1.810000	150.184000
866	75065	37934	37997	1.732000	150.130000
887	75268	37984	38171	1.774000	150.536000
887	74627	37763	37751	1.774000	149.254000
904	73809	37482	37231	1.808000	147.618000
909	74346	37553	37702	1.818000	148.692000
920	74426	37669	37677	1.840000	148.852000
917	74657	37828	37746	1.834000	149.314000
906	74905	38058	37753	1.812000	149.810000
922	74119	37503	37538	1.844000	148.238000
910	74550	37685	37775	1.820000	149.100000
861	74462	37758	37565	1.722000	148.924000
892	74901	38032	37761	1.784000	149.802000
929	74720	37855	37794	1.858000	149.440000
904	74844	37754	37994	1.808000	149.688000
927	74215	37672	37470	1.854000	148.430000
881	74487	37610	37758	1.762000	148.974000
906	75288	38008	38186	1.812000	150.576000
902	75040	37972	37970	1.804000	150.080000
945	74353	37650	37648	1.890000	148.706000
909	74873	37713	38069	1.818000	149.746000
910	73931	37437	37404	1.820000	147.862000
866	74494	37743	37617	1.732000	148.988000
931	75355	38106	38180	1.862000	150.710000
923	74695	37948	37670	1.846000	149.390000
865	75276	38062	38079	1.730000	150.552000
977	73158	36989	37146	1.954000	146.316000
928	74572	37806	37694	1.856000	149.144000
917	74892	37844	37965	1.834000	149.784000
936	74625	37669	37892	1.872000	149.250000
842	74669	37951	37560	1.684000	149.338000
919	75086	38029	37976	1.838000	150.172000
930	74509	37646	37793	1.860000	149.018000
886	74494	37804	37576	1.772000	148.988000
931	74670	37758	37843	1.862000	149.340000
853	74291	37532	37612	1.706000	148.582000
925	74529	37558	37896	1.850000	149.058000
823	75434	38166	38091	1.646000	150.868000
846	74585	37634	37797	1.692000	149.170000
896	74125	37429	37592	1.792000	148.250000
888	74710	37773	37825	1.776000	149.420000
866	74874	37791	37949	1.732000	149.748000
871	74603	37760	37714	1.742000	149.206000
917	74627	37944	37600	1.834000	149.254000
904	75313	38101	38116	1.808000	150.626000
884	74543	37713	37714	1.768000	149.086000
868	74727	37811	37784	1.736000	149.454000
