NoOfDeaths	MinBlueDeath	MajBlueDeath	MinRedDeath	MajReadDeath
0	1	239	1	214
1	0	420	0	421
2	0	506	0	445
3	0	354	0	421
4	0	249	0	251
5	0	134	0	127
6	0	49	0	85
7	0	32	0	20
8	0	10	0	9
9	0	5	0	5
10	0	2	0	2
55	1	0	1	0
56	1	0	0	0
58	1	0	1	0
60	0	0	1	0
61	3	0	2	0
62	1	0	6	0
63	1	0	6	0
64	5	0	7	0
65	9	0	9	0
66	13	0	9	0
67	12	0	9	0
68	16	0	20	0
69	23	0	24	0
70	26	0	24	0
71	30	0	38	0
72	43	0	51	0
73	49	0	41	0
74	46	0	69	0
75	60	0	62	0
76	69	0	80	0
77	80	0	77	0
78	77	0	72	0
79	102	0	94	0
80	97	0	102	0
81	107	0	82	0
82	93	0	96	0
83	111	0	101	0
84	114	0	107	0
85	82	0	93	0
86	84	0	102	0
87	72	0	80	0
88	90	0	88	0
89	88	0	72	0
90	51	0	44	0
91	61	0	71	0
92	62	0	40	0
93	46	0	40	0
94	30	0	40	0
95	40	0	25	0
96	22	0	14	0
97	17	0	20	0
98	14	0	24	0
99	14	0	13	0
100	13	0	7	0
101	7	0	11	0
102	3	0	5	0
103	6	0	5	0
104	1	0	8	0
105	0	0	1	0
106	4	0	4	0
107	1	0	0	0
108	0	0	1	0
109	1	0	0	0
