20x20 grid, p = 0.7, redf = 0.4, bluef = 0.2, 500 steps
-e Ma D	Mi D	Red D	 Blue D	s+	s-
20881	61966	40872	41975	41.762000	123.932000
21052	63109	41418	42743	42.104000	126.218000
20567	63503	41252	42818	41.134000	127.006000
21401	63164	41656	42909	42.802000	126.328000
20863	63200	41381	42682	41.726000	126.400000
21044	62181	41206	42019	42.088000	124.362000
20563	62871	41127	42307	41.126000	125.742000
20941	62543	41119	42365	41.882000	125.086000
20480	62590	40975	42095	40.960000	125.180000
21067	62983	41441	42609	42.134000	125.966000
21025	62921	41186	42760	42.050000	125.842000
21336	63332	41561	43107	42.672000	126.664000
21466	64423	42284	43605	42.932000	128.846000
20603	63973	41534	43042	41.206000	127.946000
20648	63343	41255	42736	41.296000	126.686000
20962	63012	41299	42675	41.924000	126.024000
21484	63359	41564	43279	42.968000	126.718000
20933	63101	41334	42700	41.866000	126.202000
20999	63013	41404	42608	41.998000	126.026000
20712	63402	41420	42694	41.424000	126.804000
20964	62805	41381	42388	41.928000	125.610000
20781	62179	41004	41956	41.562000	124.358000
21060	63906	41764	43202	42.120000	127.812000
21228	63614	41772	43070	42.456000	127.228000
21248	63480	41672	43056	42.496000	126.960000
20863	62663	41052	42474	41.726000	125.326000
20625	62972	41073	42524	41.250000	125.944000
20979	64379	41981	43377	41.958000	128.758000
21002	62730	41233	42499	42.004000	125.460000
20886	63244	41347	42783	41.772000	126.488000
20972	63756	41588	43140	41.944000	127.512000
20859	62833	41056	42636	41.718000	125.666000
21224	62689	41323	42590	42.448000	125.378000
21226	62564	41274	42516	42.452000	125.128000
20973	63068	41409	42632	41.946000	126.136000
21060	63284	41526	42818	42.120000	126.568000
20984	62037	40954	42067	41.968000	124.074000
20966	62276	41130	42112	41.932000	124.552000
21370	63333	41671	43032	42.740000	126.666000
20954	63609	41573	42990	41.908000	127.218000
21001	63762	41579	43184	42.002000	127.524000
20777	62667	41054	42390	41.554000	125.334000
21463	63351	41842	42972	42.926000	126.702000
21017	63286	41582	42721	42.034000	126.572000
20670	63096	41331	42435	41.340000	126.192000
21316	64007	41990	43333	42.632000	128.014000
21136	62449	41105	42480	42.272000	124.898000
21141	64349	42001	43489	42.282000	128.698000
20807	63439	41544	42702	41.614000	126.878000
20649	63008	41136	42521	41.298000	126.016000
20978	63717	41544	43151	41.956000	127.434000
20727	62482	41103	42106	41.454000	124.964000
21072	63329	41385	43016	42.144000	126.658000
21411	62793	41473	42731	42.822000	125.586000
20549	63030	41074	42505	41.098000	126.060000
20634	63289	41273	42650	41.268000	126.578000
21254	63362	41576	43040	42.508000	126.724000
21161	62470	41068	42563	42.322000	124.940000
20906	63439	41319	43026	41.812000	126.878000
21017	63622	41570	43069	42.034000	127.244000
21468	63626	41896	43198	42.936000	127.252000
20964	63459	41455	42968	41.928000	126.918000
20897	63490	41435	42952	41.794000	126.980000
20859	63419	41415	42863	41.718000	126.838000
20680	62974	41258	42396	41.360000	125.948000
20945	62670	41174	42441	41.890000	125.340000
21409	63591	41684	43316	42.818000	127.182000
20904	63679	41604	42979	41.808000	127.358000
20573	64042	41673	42942	41.146000	128.084000
20985	63785	41578	43192	41.970000	127.570000
20948	62049	40972	42025	41.896000	124.098000
21035	62308	41215	42128	42.070000	124.616000
21135	63144	41520	42759	42.270000	126.288000
21092	62830	41179	42743	42.184000	125.660000
21377	62969	41592	42754	42.754000	125.938000
20977	63529	41600	42906	41.954000	127.058000
20867	62398	41041	42224	41.734000	124.796000
20887	63295	41545	42637	41.774000	126.590000
21082	63421	41433	43070	42.164000	126.842000
21188	63876	41904	43160	42.376000	127.752000
20704	62208	40918	41994	41.408000	124.416000
20798	63125	41388	42535	41.596000	126.250000
20828	62658	41191	42295	41.656000	125.316000
20822	62605	41060	42367	41.644000	125.210000
21192	63586	41636	43142	42.384000	127.172000
20515	63086	41134	42467	41.030000	126.172000
20833	62303	40868	42268	41.666000	124.606000
21236	64479	42219	43496	42.472000	128.958000
21119	63822	41629	43312	42.238000	127.644000
20888	62554	41259	42183	41.776000	125.108000
21145	62733	41383	42495	42.290000	125.466000
21155	62237	40963	42429	42.310000	124.474000
21163	63884	41932	43115	42.326000	127.768000
20676	62787	41117	42346	41.352000	125.574000
21070	62760	41324	42506	42.140000	125.520000
21478	63735	41901	43312	42.956000	127.470000
21270	62696	41419	42547	42.540000	125.392000
20719	63009	41177	42551	41.438000	126.018000
21376	63996	41996	43376	42.752000	127.992000
21084	62908	41174	42818	42.168000	125.816000
21112	64173	41747	43538	42.224000	128.346000
21248	62678	41276	42650	42.496000	125.356000
20564	61663	40431	41796	41.128000	123.326000
21263	63703	41631	43335	42.526000	127.406000
20755	63251	41366	42640	41.510000	126.502000
21297	64248	42130	43415	42.594000	128.496000
20740	62862	41184	42418	41.480000	125.724000
21154	62428	41074	42508	42.308000	124.856000
20539	63747	41292	42994	41.078000	127.494000
21151	64152	41853	43450	42.302000	128.304000
21096	62306	41155	42247	42.192000	124.612000
21322	63594	41717	43199	42.644000	127.188000
21005	62515	41198	42322	42.010000	125.030000
20915	62351	40915	42351	41.830000	124.702000
21207	63267	41646	42828	42.414000	126.534000
21057	63261	41494	42824	42.114000	126.522000
21204	63711	41679	43236	42.408000	127.422000
20904	63462	41360	43006	41.808000	126.924000
20913	61732	40841	41804	41.826000	123.464000
20812	62077	41022	41867	41.624000	124.154000
21125	63745	41710	43160	42.250000	127.490000
20684	62955	41247	42392	41.368000	125.910000
20825	63626	41607	42844	41.650000	127.252000
21165	62332	41086	42411	42.330000	124.664000
21265	63389	41799	42855	42.530000	126.778000
21144	62499	41237	42406	42.288000	124.998000
21050	63193	41393	42850	42.100000	126.386000
21234	63461	41570	43125	42.468000	126.922000
20645	62543	40886	42302	41.290000	125.086000
20483	61916	40734	41665	40.966000	123.832000
21014	63787	41621	43180	42.028000	127.574000
20980	62755	41176	42559	41.960000	125.510000
21120	63393	41713	42800	42.240000	126.786000
21313	63087	41516	42884	42.626000	126.174000
20794	63394	41304	42884	41.588000	126.788000
21117	63295	41473	42939	42.234000	126.590000
20721	64169	41657	43233	41.442000	128.338000
20999	62516	41292	42223	41.998000	125.032000
21009	63205	41540	42674	42.018000	126.410000
20943	62249	41061	42131	41.886000	124.498000
21261	63383	41573	43071	42.522000	126.766000
21089	61505	40793	41801	42.178000	123.010000
21521	63222	41662	43081	43.042000	126.444000
21042	63761	41758	43045	42.084000	127.522000
20855	63032	41134	42753	41.710000	126.064000
21113	63185	41550	42748	42.226000	126.370000
20989	62782	41168	42603	41.978000	125.564000
21070	63229	41389	42910	42.140000	126.458000
20935	61865	40785	42015	41.870000	123.730000
20946	64081	41766	43261	41.892000	128.162000
21669	63922	42183	43408	43.338000	127.844000
21102	63196	41659	42639	42.204000	126.392000
21256	63340	41657	42939	42.512000	126.680000
21424	62306	41220	42510	42.848000	124.612000
21148	62857	41396	42609	42.296000	125.714000
20816	62464	40969	42311	41.632000	124.928000
21135	62939	41147	42927	42.270000	125.878000
21024	61763	40863	41924	42.048000	123.526000
21548	63233	41589	43192	43.096000	126.466000
20843	63052	41413	42482	41.686000	126.104000
20934	64060	41786	43208	41.868000	128.120000
21731	63612	41959	43384	43.462000	127.224000
21260	63582	41530	43312	42.520000	127.164000
20607	62299	40783	42123	41.214000	124.598000
21022	63824	41608	43238	42.044000	127.648000
20859	62894	41334	42419	41.718000	125.788000
21225	63472	41715	42982	42.450000	126.944000
20722	62724	41009	42437	41.444000	125.448000
20905	62102	40929	42078	41.810000	124.204000
20748	62474	40891	42331	41.496000	124.948000
20745	62613	41087	42271	41.490000	125.226000
20877	63814	41463	43228	41.754000	127.628000
21350	62715	41301	42764	42.700000	125.430000
20665	63398	41274	42789	41.330000	126.796000
21437	62459	41315	42581	42.874000	124.918000
21236	63543	41643	43136	42.472000	127.086000
21393	63399	41742	43050	42.786000	126.798000
21389	64106	41970	43525	42.778000	128.212000
20880	63505	41622	42763	41.760000	127.010000
21207	62520	41265	42462	42.414000	125.040000
21103	62604	41349	42358	42.206000	125.208000
21270	63539	41661	43148	42.540000	127.078000
21170	61989	40941	42218	42.340000	123.978000
20777	62403	40885	42295	41.554000	124.806000
20830	62517	40827	42520	41.660000	125.034000
21230	63023	41590	42663	42.460000	126.046000
20568	63729	41262	43035	41.136000	127.458000
20870	62825	41160	42535	41.740000	125.650000
21327	63065	41377	43015	42.654000	126.130000
20532	62528	40979	42081	41.064000	125.056000
20784	63835	41375	43244	41.568000	127.670000
21248	62591	41285	42554	42.496000	125.182000
21035	63224	41419	42840	42.070000	126.448000
20975	64026	41800	43201	41.950000	128.052000
20961	62607	41034	42534	41.922000	125.214000
20889	62993	41333	42549	41.778000	125.986000
21357	63096	41653	42800	42.714000	126.192000
20642	63156	41168	42630	41.284000	126.312000
20905	62992	41442	42455	41.810000	125.984000
20888	62325	41016	42197	41.776000	124.650000
21046	62689	41111	42624	42.092000	125.378000
20986	62947	41391	42542	41.972000	125.894000
20921	62953	41324	42550	41.842000	125.906000
21020	63677	41503	43194	42.040000	127.354000
21060	62888	41318	42630	42.120000	125.776000
21109	63948	41773	43284	42.218000	127.896000
21157	62560	41166	42551	42.314000	125.120000
21193	63073	41514	42752	42.386000	126.146000
21233	63524	41629	43128	42.466000	127.048000
21390	63038	41750	42678	42.780000	126.076000
20887	63005	41384	42508	41.774000	126.010000
21136	62434	40939	42631	42.272000	124.868000
21125	63619	41602	43142	42.250000	127.238000
21276	63566	41768	43074	42.552000	127.132000
20714	62596	40914	42396	41.428000	125.192000
20974	63510	41339	43145	41.948000	127.020000
20811	63923	41608	43126	41.622000	127.846000
20720	62905	41188	42437	41.440000	125.810000
21365	63607	41736	43236	42.730000	127.214000
21061	62755	41335	42481	42.122000	125.510000
21128	64540	42011	43657	42.256000	129.080000
20872	63914	41716	43070	41.744000	127.828000
21115	63543	41550	43108	42.230000	127.086000
20591	62061	40732	41920	41.182000	124.122000
21144	63302	41579	42867	42.288000	126.604000
20856	62451	41057	42250	41.712000	124.902000
21023	62271	40944	42350	42.046000	124.542000
21042	63026	41326	42742	42.084000	126.052000
21123	63593	41666	43050	42.246000	127.186000
21002	62798	41322	42478	42.004000	125.596000
21189	62918	41327	42780	42.378000	125.836000
20942	61948	40898	41992	41.884000	123.896000
21104	63485	41702	42887	42.208000	126.970000
21275	63777	41860	43192	42.550000	127.554000
21266	63703	41699	43270	42.532000	127.406000
21310	63485	41747	43048	42.620000	126.970000
21005	62178	40978	42205	42.010000	124.356000
20836	62245	40846	42235	41.672000	124.490000
21106	63101	41377	42830	42.212000	126.202000
20940	63526	41548	42918	41.880000	127.052000
21120	63392	41587	42925	42.240000	126.784000
20969	63397	41351	43015	41.938000	126.794000
21594	62840	41575	42859	43.188000	125.680000
20921	62093	40863	42151	41.842000	124.186000
21084	62132	40905	42311	42.168000	124.264000
21207	62504	41147	42564	42.414000	125.008000
20969	63015	41380	42604	41.938000	126.030000
20711	62484	40880	42315	41.422000	124.968000
21032	62921	41437	42516	42.064000	125.842000
21051	62969	41240	42780	42.102000	125.938000
20706	62234	40916	42024	41.412000	124.468000
21131	63130	41462	42799	42.262000	126.260000
20937	63210	41287	42860	41.874000	126.420000
20574	62971	41149	42396	41.148000	125.942000
21417	63640	41732	43325	42.834000	127.280000
20908	63078	41379	42607	41.816000	126.156000
21305	63469	41575	43199	42.610000	126.938000
21492	62762	41440	42814	42.984000	125.524000
20868	61455	40510	41813	41.736000	122.910000
21063	62530	41232	42361	42.126000	125.060000
21133	62586	41281	42438	42.266000	125.172000
21230	63522	41679	43073	42.460000	127.044000
20673	62279	40834	42118	41.346000	124.558000
21265	63850	41871	43244	42.530000	127.700000
21057	63418	41563	42912	42.114000	126.836000
20965	62374	41042	42297	41.930000	124.748000
21022	62467	41141	42348	42.044000	124.934000
20428	62450	40702	42176	40.856000	124.900000
21219	64423	42172	43470	42.438000	128.846000
20540	61837	40606	41771	41.080000	123.674000
21275	63313	41654	42934	42.550000	126.626000
21344	62716	41491	42569	42.688000	125.432000
21200	63113	41413	42900	42.400000	126.226000
21244	61905	41012	42137	42.488000	123.810000
20781	63388	41480	42689	41.562000	126.776000
20801	63009	41142	42668	41.602000	126.018000
20598	61124	40409	41313	41.196000	122.248000
21319	64265	42000	43584	42.638000	128.530000
20959	62383	40932	42410	41.918000	124.766000
21186	62911	41569	42528	42.372000	125.822000
21349	62598	41314	42633	42.698000	125.196000
20852	63326	41381	42797	41.704000	126.652000
21041	63108	41440	42709	42.082000	126.216000
20755	63685	41508	42932	41.510000	127.370000
20779	62753	41304	42228	41.558000	125.506000
21144	62284	41128	42300	42.288000	124.568000
20725	63141	41283	42583	41.450000	126.282000
21316	63918	41843	43391	42.632000	127.836000
20847	63050	41314	42583	41.694000	126.100000
20986	63765	41537	43214	41.972000	127.530000
20751	63471	41465	42757	41.502000	126.942000
21174	62456	41043	42587	42.348000	124.912000
21355	62317	41148	42524	42.710000	124.634000
21049	63330	41618	42761	42.098000	126.660000
21179	63042	41328	42893	42.358000	126.084000
20873	62711	41201	42383	41.746000	125.422000
20993	62278	41062	42209	41.986000	124.556000
21244	64556	42023	43777	42.488000	129.112000
20804	63574	41423	42955	41.608000	127.148000
21091	63598	41874	42815	42.182000	127.196000
21121	64164	41848	43437	42.242000	128.328000
21423	63024	41463	42984	42.846000	126.048000
20948	63448	41382	43014	41.896000	126.896000
21379	62948	41559	42768	42.758000	125.896000
20586	62812	41218	42180	41.172000	125.624000
21148	63117	41418	42847	42.296000	126.234000
21055	63363	41477	42941	42.110000	126.726000
21159	62855	41436	42578	42.318000	125.710000
20826	63208	41251	42783	41.652000	126.416000
20868	63590	41545	42913	41.736000	127.180000
20845	62208	40944	42109	41.690000	124.416000
21127	63246	41417	42956	42.254000	126.492000
21143	63610	41550	43203	42.286000	127.220000
21115	63355	41584	42886	42.230000	126.710000
20944	62736	41153	42527	41.888000	125.472000
20673	61727	40776	41624	41.346000	123.454000
20869	62008	40674	42203	41.738000	124.016000
20981	62729	41255	42455	41.962000	125.458000
20744	63161	41205	42700	41.488000	126.322000
20914	63077	41194	42797	41.828000	126.154000
21235	62619	41299	42555	42.470000	125.238000
21049	62576	41092	42533	42.098000	125.152000
21435	62679	41578	42536	42.870000	125.358000
21100	62395	41220	42275	42.200000	124.790000
21531	64299	42252	43578	43.062000	128.598000
21034	62441	41262	42213	42.068000	124.882000
20947	63767	41630	43084	41.894000	127.534000
20946	63361	41334	42973	41.892000	126.722000
20723	62899	41121	42501	41.446000	125.798000
21301	62183	41020	42464	42.602000	124.366000
21186	63599	41586	43199	42.372000	127.198000
20889	62579	41003	42465	41.778000	125.158000
21035	63679	41699	43015	42.070000	127.358000
21463	64030	41854	43639	42.926000	128.060000
20891	61982	41041	41832	41.782000	123.964000
20882	62955	41154	42683	41.764000	125.910000
20853	62405	41122	42136	41.706000	124.810000
21012	63118	41515	42615	42.024000	126.236000
20896	63621	41446	43071	41.792000	127.242000
21215	63256	41515	42956	42.430000	126.512000
21205	63655	41692	43168	42.410000	127.310000
21152	62870	41255	42767	42.304000	125.740000
20596	63135	41343	42388	41.192000	126.270000
21219	62864	41541	42542	42.438000	125.728000
21137	63922	41723	43336	42.274000	127.844000
21415	63195	41579	43031	42.830000	126.390000
20834	62766	41119	42481	41.668000	125.532000
20984	61730	40785	41929	41.968000	123.460000
21101	62871	41337	42635	42.202000	125.742000
21081	63902	41760	43223	42.162000	127.804000
21060	62757	41291	42526	42.120000	125.514000
20927	63025	41104	42848	41.854000	126.050000
21190	64188	42059	43319	42.380000	128.376000
21155	63824	41582	43397	42.310000	127.648000
20747	63692	41560	42879	41.494000	127.384000
21162	63213	41557	42818	42.324000	126.426000
21008	62010	40989	42029	42.016000	124.020000
20859	62778	41242	42395	41.718000	125.556000
20783	62357	41021	42119	41.566000	124.714000
21231	63233	41364	43100	42.462000	126.466000
20824	62573	40896	42501	41.648000	125.146000
21035	61838	40910	41963	42.070000	123.676000
20777	62620	41063	42334	41.554000	125.240000
21326	63663	41880	43109	42.652000	127.326000
21191	63167	41346	43012	42.382000	126.334000
21256	64087	42025	43318	42.512000	128.174000
21030	63204	41351	42883	42.060000	126.408000
20873	62617	40986	42504	41.746000	125.234000
21281	63214	41534	42961	42.562000	126.428000
21072	63678	41673	43077	42.144000	127.356000
20815	63882	41637	43060	41.630000	127.764000
20546	62752	41002	42296	41.092000	125.504000
21025	62694	41056	42663	42.050000	125.388000
21190	62775	41368	42597	42.380000	125.550000
21146	63401	41630	42917	42.292000	126.802000
21191	63026	41226	42991	42.382000	126.052000
