20x20 grid, p = 0.7, redf = 0.4, bluef = 0.2, 500 steps
Ma D	Mi D	Red D	 Blue D	red s+	blue s+	s-
21231	62991	41558	42664	28.218000	14.244000	125.982000
20999	62570	41236	42333	28.036000	13.962000	125.140000
21007	63634	41689	42952	27.906000	14.108000	127.268000
20541	63289	41181	42649	27.358000	13.724000	126.578000
21052	62756	41083	42725	28.058000	14.046000	125.512000
20957	62499	41119	42337	27.904000	14.010000	124.998000
21316	63222	41481	43057	28.398000	14.234000	126.444000
20915	62785	41208	42492	27.710000	14.120000	125.570000
20974	63591	41556	43009	27.788000	14.160000	127.182000
21003	63052	41393	42662	27.900000	14.106000	126.104000
20562	63606	41410	42758	27.328000	13.796000	127.212000
20973	62399	41182	42190	27.984000	13.962000	124.798000
20782	62265	40775	42272	27.824000	13.740000	124.530000
21368	63787	41977	43178	28.320000	14.416000	127.574000
21208	64338	41986	43560	28.060000	14.356000	128.676000
20933	62999	41324	42608	27.888000	13.978000	125.998000
20776	61967	40800	41943	27.702000	13.850000	123.934000
21272	63665	41564	43373	28.044000	14.500000	127.330000
21099	63366	41569	42896	27.958000	14.240000	126.732000
20936	62854	41252	42538	27.778000	14.094000	125.708000
20984	63181	41342	42823	27.816000	14.152000	126.362000
20749	63392	41227	42914	27.698000	13.800000	126.784000
20742	62260	40956	42046	27.708000	13.776000	124.520000
20677	63420	41372	42725	27.632000	13.722000	126.840000
21020	63771	41687	43104	27.938000	14.102000	127.542000
21269	62430	41137	42562	28.474000	14.064000	124.860000
20840	63868	41607	43101	27.766000	13.914000	127.736000
20718	62472	40945	42245	27.748000	13.688000	124.944000
21032	63954	41607	43379	27.798000	14.266000	127.908000
21292	63019	41441	42870	28.308000	14.276000	126.038000
21071	64711	42127	43655	27.952000	14.190000	129.422000
20625	63040	41123	42542	27.398000	13.852000	126.080000
20583	62537	40926	42194	27.530000	13.636000	125.074000
21413	64359	42214	43558	28.294000	14.532000	128.718000
21221	63433	41657	42997	28.098000	14.344000	126.866000
21349	63614	41687	43276	28.308000	14.390000	127.228000
21210	63716	41848	43078	28.224000	14.196000	127.432000
20782	62114	40834	42062	27.644000	13.920000	124.228000
20683	62129	40836	41976	27.658000	13.708000	124.258000
21093	63779	41625	43247	28.062000	14.124000	127.558000
21195	61575	40839	41931	28.308000	14.082000	123.150000
20775	62747	41071	42451	27.638000	13.912000	125.494000
21528	64021	42215	43334	28.612000	14.444000	128.042000
21198	62763	41317	42644	28.226000	14.170000	125.526000
20785	63803	41676	42912	27.730000	13.840000	127.606000
20949	62734	41152	42531	27.918000	13.980000	125.468000
21219	62399	41232	42386	28.392000	14.046000	124.798000
20915	62106	40794	42227	27.832000	13.998000	124.212000
20912	62949	41412	42449	27.800000	14.024000	125.898000
20914	63412	41313	43013	27.796000	14.032000	126.824000
21080	63647	41582	43145	27.962000	14.198000	127.294000
